Gene1,Gene2,Score
JUN,RP11-524F11.2,10.160811266529612
TBX1,ULK1,10.13612400474673
JUNB,CTD-2574D22.2,10.135792558892502
LEF1,AC090186.1,10.130753401549171
RUNX3,EMC8,10.12332460737832
ZNF737,CDPF1,10.116919139296252
LEF1,MXRA7,10.105569548846468
LEF1,RP11-755B10.2,10.098737724137925
MYBL1,KLKB1,10.090816116962472
TBX6,EVI5,10.077396358317143
JUNB,PVRL1,10.073299888801214
JUNB,ZNF155,10.021549518063098
MAFB,FPR1,9.982577600509858
JUN,GPM6B,9.980822042651454
JUNB,RP11-49C24.1,9.971852407805828
LYAR,SATB2,9.96978011087118
LEF1,RP11-122G18.5,9.962244860072088
JUN,PRSS36,9.956358189548814
MYSM1,AC009312.1,9.943282514161606
CEBPD,ZNF311,9.93666278983346
JUNB,GOLGA6L6,9.934051820829788
ZFHX3,PARP1,9.927924644656128
BBX,LARP4,9.874074433547316
JUNB,TMPRSS6,9.869429515992602
LEF1,GTSE1,9.84927433368472
ZSCAN2,AHCTF1,9.84840014836804
JUNB,RP11-351A11.1,9.816555905365046
ZNF142,APOBEC3C,9.81455097149601
LEF1,RP11-188D8.1,9.801568363509302
JUNB,ERRFI1,9.794797235515537
BATF,RP11-664D1.1,9.79009670160133
ID3,TNFRSF1A,9.786241306157068
ZNF683,GNLY,9.765067441878973
BBX,B3GALNT2,9.751620379062784
BBX,CCDC71L,9.744307545589203
LEF1,AC195454.1,9.741683327230026
JUN,RP11-29H23.4,9.734018221033883
ZNF277,ZNF805,9.729183541646412
LEF1,EXOG,9.726957045215745
ZNF234,GPR171,9.701026416396871
FOXN2,ZNF710,9.69660115506398
JUN,SLC2A7,9.693915762854283
LEF1,CTA-384D8.35,9.686202556239326
DNAJC1,RSRC1,9.680920440480596
LEF1,RP11-121C2.2,9.671230431490793
FOS,PLAUR,9.664909216518762
ZNF264,TRIP13,9.660701280549738
FOXN2,RP11-816J6.3,9.659669776927704
JUNB,RP11-477D19.2,9.647430766100095
ID2,HBEGF,9.644991850716966
LEF1,VIT,9.638276879823763
JUN,PTGDR,9.636232251064216
FOS,RP11-315O6.1,9.633603349800335
LEF1,RP11-488L18.8,9.626497807562949
HOPX,ZNF155,9.623739356024675
JUN,CTBP2,9.611727104148702
FOS,DACH1,9.596886784753046
FOXN2,CLK3,9.59656887009551
LEF1,PSMA8,9.591678327312492
SIM1,PRSS35,9.574881469103245
LEF1,FGF14-AS2,9.57459153801596
ZNF277,EIF2AK1,9.57191625986251
JUNB,PPM1L,9.55719910198424
JUN,TGFBI,9.550841282240146
MAFG,AC004158.2,9.548286165925337
CEBPD,MIXL1,9.531429982340011
JUNB,AP006621.8,9.528855020036836
HOPX,ZNF311,9.4888973852013
GABPA,CXCR3,9.466127106128312
ZNF277,RAB27A,9.449512202881392
JUNB,HAGHL,9.447183524051685
RUNX3,CASC15,9.446289059306508
ZNF143,SMC5,9.444268240310045
JUN,AC097721.2,9.420344979940731
JUN,B4GALT2,9.40573738447681
LEF1,KIF22,9.366064251619184
CASZ1,TBX6,9.359883564550822
LEF1,ZSCAN2,9.35928401269915
MTA1,AC195454.1,9.35748352744753
LEF1,RP11-646J21.5,9.352738141827324
FOS,EFNB2,9.341965943993838
LEF1,CDKL5,9.329449318793854
ZNF320,MLLT6,9.325898703439483
TCF12,GRHPR,9.301795518771431
RUNX3,SRFBP1,9.301568281342822
LEF1,JAG1,9.29164047422671
ZNF710,GGA1,9.282507449059768
TBX1,BOD1,9.282065669005728
FOS,CCT6B,9.272435936211108
E2F5,IGJ,9.262446014164675
IRF6,ARL6IP6,9.255955620792152
MYSM1,ECHDC1,9.255383923691475
KLF6,CDC42BPG,9.22540491380207
GABPA,RP11-841O20.2,9.202856071102827
BBX,IDH1-AS1,9.198056129404575
LEF1,CDK14,9.193830269781529
LEF1,OOEP,9.18853150050731
JUNB,CTC-444N24.6,9.18842430218963
KLF6,ASMT,9.183341404952657
BBX,GALNT6,9.173678327390476
FOS,CYTL1,9.166418857813516
LEF1,RP11-339B21.15,9.153359994374762
LYAR,RPLP1,9.147846407917545
THAP6,GMPR,9.120238845298992
DACH1,TNFRSF18,9.099780204071848
JUNB,RP11-29H23.4,9.094110669298129
ZNF683,LAIR2,9.073381051354534
BBX,CHD6,9.069316555878258
ATF6,TNS4,9.05351897335574
DNAJC1,DENND4C,9.04239848112694
JUNB,GPD2,9.03387324539498
HOXA10,GOLIM4,9.029478552733028
FOSB,YKT6,9.010464320495528
ATF6,hsa-mir-150,9.00224555578209
LYAR,CCL5,8.986000843165275
LEF1,PCAT1,8.966578682940247
ZNF264,SIGLEC12,8.95429719017156
FOS,ALOX5,8.932823588029029
ATF6,TBX6,8.926205876985687
FOS,RP11-768F21.1,8.922094158406237
HOPX,MIXL1,8.921756151948285
LEF1,SLC2A7,8.912351386378699
LEF1,DLGAP1,8.912102145329337
AHCTF1,ZNF501,8.884819327822587
THAP6,TTC32,8.880472399899944
JUNB,CDKL5,8.872644272307554
PKNOX1,C1orf21,8.864557832226083
ZNF142,PVRL1,8.843529509877676
JUNB,RP1-28H20.3,8.842914308275711
JUN,PPP5D1,8.840671079992015
ZNF562,RP11-256L11.3,8.835912726619348
LEF1,ARL10,8.820669295047496
JUNB,POU5F2,8.815735075911913
LEF1,PSPH,8.795605289547206
LEF1,PEBP4,8.774064381531995
